sub	RT	condition	conditionName	correct	category	repeatDist	conditionCheck	categoryNum	phase	test
6	1983	1	uniform	0	BigFam	0	1	1	SixItems	6
6	2273	2	mixed	1	BigFam	0	2	1	SixItems	6
6	8310	2	mixed	0	SmallFam	0	2	2	SixItems	6
6	1575	1	uniform	1	BigFam	0	1	1	SixItems	6
6	1121	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	955	1	uniform	1	BigFam	0	1	1	SixItems	6
6	5979	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	903	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	1397	2	mixed	1	BigFam	0	2	1	SixItems	6
6	4895	2	mixed	0	BigFam	0	2	1	SixItems	6
6	1022	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	4793	1	uniform	0	BigFam	0	1	1	SixItems	6
6	1105	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	3837	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	1879	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	1089	2	mixed	1	BigFam	0	2	1	SixItems	6
6	937	1	uniform	1	BigFam	0	1	1	SixItems	6
6	1652	2	mixed	1	BigFam	0	2	1	SixItems	6
6	1902	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	1610	1	uniform	1	BigFam	0	1	1	SixItems	6
6	1664	1	uniform	0	SmallFam	0	1	2	SixItems	6
6	1591	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	1669	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	2790	2	mixed	0	BigFam	0	2	1	SixItems	6
6	1914	1	uniform	1	BigFam	0	1	1	SixItems	6
6	2769	2	mixed	0	SmallFam	0	2	2	SixItems	6
6	1857	1	uniform	0	BigFam	0	1	1	SixItems	6
6	4237	1	uniform	0	SmallFam	0	1	2	SixItems	6
6	854	2	mixed	1	BigFam	0	2	1	SixItems	6
6	4091	2	mixed	0	SmallFam	0	2	2	SixItems	6
6	1364	1	uniform	1	BigFam	0	1	1	SixItems	6
6	1882	2	mixed	0	BigFam	0	2	1	SixItems	6
6	1741	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	3011	1	uniform	0	BigFam	0	1	1	SixItems	6
6	1131	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	1986	2	mixed	1	BigFam	0	2	1	SixItems	6
6	1858	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	1885	2	mixed	1	BigFam	0	2	1	SixItems	6
6	1595	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	770	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	4594	1	uniform	0	BigFam	0	1	1	SixItems	6
6	1582	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	3389	1	uniform	0	SmallFam	0	1	2	SixItems	6
6	882	2	mixed	1	BigFam	0	2	1	SixItems	6
6	1153	1	uniform	1	BigFam	0	1	1	SixItems	6
6	1461	1	uniform	1	SmallFam	0	1	2	SixItems	6
6	1604	2	mixed	1	BigFam	0	2	1	SixItems	6
6	1269	2	mixed	1	SmallFam	0	2	2	SixItems	6
6	2256	1	uniform	1	BigFam	0	1	1	SixItems	6
7	2037	1	uniform	1	BigFam	0	1	1	ThreeItems	3
7	1517	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
7	806	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
7	871	2	mixed	1	BigFam	0	2	1	ThreeItems	3
7	1246	1	uniform	1	BigFam	0	1	1	ThreeItems	3
7	1482	1	uniform	0	SmallFam	0	1	2	ThreeItems	3
7	1055	2	mixed	1	BigFam	0	2	1	ThreeItems	3
7	768	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
7	749	1	uniform	1	BigFam	0	1	1	ThreeItems	3
7	981	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
7	1162	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
7	1238	2	mixed	1	BigFam	0	2	1	ThreeItems	3
7	1761	2	mixed	1	BigFam	0	2	1	SixItems	6
7	748	1	uniform	1	BigFam	0	1	1	SixItems	6
7	1409	2	mixed	1	SmallFam	0	2	2	SixItems	6
7	980	1	uniform	1	SmallFam	0	1	2	SixItems	6
7	1336	1	uniform	1	SmallFam	0	1	2	SixItems	6
7	1448	2	mixed	1	BigFam	0	2	1	SixItems	6
7	1700	1	uniform	1	BigFam	0	1	1	SixItems	6
7	881	2	mixed	1	SmallFam	0	2	2	SixItems	6
7	972	1	uniform	0	BigFam	0	1	1	SixItems	6
7	2414	1	uniform	1	SmallFam	0	1	2	SixItems	6
7	1153	2	mixed	1	SmallFam	0	2	2	SixItems	6
7	1528	2	mixed	1	BigFam	0	2	1	SixItems	6
7	1289	2	mixed	1	SmallFam	0	2	2	SixItems	6
7	2473	1	uniform	1	BigFam	0	1	1	SixItems	6
7	5025	2	mixed	0	BigFam	0	2	1	SixItems	6
7	721	1	uniform	1	SmallFam	0	1	2	SixItems	6
7	1360	1	uniform	0	SmallFam	0	1	2	SixItems	6
7	2353	2	mixed	1	SmallFam	0	2	2	SixItems	6
7	2452	1	uniform	1	BigFam	0	1	1	SixItems	6
7	1138	2	mixed	1	BigFam	0	2	1	SixItems	6
7	1600	1	uniform	1	SmallFam	0	1	2	SixItems	6
7	1376	2	mixed	1	SmallFam	0	2	2	SixItems	6
7	2539	2	mixed	0	BigFam	0	2	1	SixItems	6
7	1970	1	uniform	1	BigFam	0	1	1	SixItems	6
7	3473	2	mixed	1	BigFam	0	2	1	SixItems	6
7	696	1	uniform	1	SmallFam	0	1	2	SixItems	6
7	681	2	mixed	1	SmallFam	0	2	2	SixItems	6
7	1030	1	uniform	1	BigFam	0	1	1	SixItems	6
